order_id,product_id,supplier_id
988,45061,48170
988,28464,18882
988,12626,18882
988,4818,92990
1890,432,49563
1890,47626,68641
1890,13176,16084
1890,11182,49563
1890,30720,15485
1890,26376,15504
1890,48679,49563
1890,8424,62674
1890,28985,82073
1890,44632,85171
1890,8277,86116
1890,38739,92568
1890,25659,92568
1890,44201,53085
1890,30391,98308
2445,40002,42516
2445,43643,15485
2445,9598,37295
2445,22035,32680
2445,38739,94800
2445,13409,92990
2445,33731,37295
2445,14399,92990
2445,6297,94800
2445,34050,16594
2445,32734,97775
2445,21616,46187
2445,42265,16594
2445,31040,94800
2445,39182,94800
2445,2091,92568
2445,48057,32680
2445,36506,32680
2445,43735,32680
2445,40604,45421
2445,6905,92319
2445,10385,98908
2445,41874,98908
2445,34126,60880
2445,28535,16594
2445,33792,98908
2445,14976,32680
2445,13231,17642
2445,4920,92990
2445,38693,92990
2445,13176,16594
2445,2081,16594
2445,39990,32680
2445,9477,94800
2445,24964,94800
2445,24184,16594
3529,17261,86116
3529,6679,53085
3563,24382,94800
3563,34067,16594
3563,4818,67415
3563,7123,32680
3563,24861,44540
3563,24799,94200
3563,39332,98908
3563,4306,98908
3563,21019,98908
3649,40199,41638
3649,13176,67914
3649,7987,41638
3733,38889,49563
3733,32163,15485
3733,37417,98308
3733,5194,53085
3733,13380,86116
3733,1203,29192
3733,5077,92568
3733,19310,49563
3733,44187,98308
3733,44361,53085
3733,12845,92568
3733,14726,53085
3733,6193,92568
3733,47457,49563
3733,21938,86116
3733,30950,49563
3733,41625,53085
3733,34358,67914
3733,34321,44540
3733,29127,18882
3733,39936,64112
3733,48969,61375
4711,46802,60656
4711,38293,12359
4711,9689,13885
4711,44201,98959
4711,48487,88114
4711,43352,21576
4711,4799,98959
4711,36923,98959
4711,47804,98959
4711,3793,13885
4711,7461,78956
4711,2537,37295
4711,210,98959
4711,41463,12359
4711,15592,98959
5117,21137,92990
5117,44632,16594
5117,3952,37295
5117,27336,49939
5117,45007,98959
5117,36011,32680
5117,46616,98908
5117,37646,92568
5117,1695,32680
5743,23288,98959
5743,3765,12359
5743,47209,94200
5743,35851,12359
5743,38647,55753
5743,9122,83351
5743,12951,55753
5743,45210,92568
5743,27966,78956
5743,20113,12359
5743,7963,68850
6096,47766,16084
6096,17757,67415
6096,27521,68850
6096,13988,32959
6096,32177,36353
6096,12614,98908
6695,37600,13885
6695,17976,18882
6695,37710,53301
6695,39657,12359
6695,36472,12359
6695,45051,13885
6695,1,12359
6695,12542,49563
6695,9007,60880
6695,19767,78956
6695,26317,13885
6695,11266,61375
6695,3298,12359
6695,130,98959
6695,30777,55753
6695,21769,94200
6695,40199,68850
6695,30720,55753
6695,6184,98959
6695,10310,98959
7537,40627,45421
7537,14233,37295
11052,16283,53085
12983,5097,67415
12983,16797,86116
12983,26604,36353
12983,39275,36353
12983,49176,31241
12983,35702,36353
12983,3562,58241
12983,9755,86116
12983,1700,16084
12983,6089,16084
12983,5223,67415
12983,36772,36353
13066,45504,92568
13066,27966,60880
13066,117,16084
13066,35138,16084
13066,10749,83123
13066,25931,36353
13066,30463,36353
13066,17794,32959
13066,6615,21576
13066,43076,16084
13318,24852,16594
13318,25513,16594
13318,21903,94800
13318,31915,32680
13318,13565,32680
13318,32864,98908
13318,47626,32680
13318,26604,94800
13318,25890,94800
14172,33198,98308
14172,10070,49939
14172,34866,92568
14172,42450,19494
14172,4138,82073
14172,10,98308
14172,2780,55045
14172,38293,42516
14172,28156,53085
14172,46993,53085
14172,35072,53085
14172,25890,42516
14287,23909,36353
14287,37311,67415
14287,21553,32959
14287,1826,60880
14287,17341,15485
14538,25138,45421
